DOPs,Año,País,Ventas
Calzadilla,2019,Holanda,15
Campo de Borja,2019,Holanda,2733
Campo de la Guardia,2019,Holanda,22
Cangas,2019,Holanda,4
Cariñena,2019,Holanda,4586
Casa del Blanco,2019,Holanda,39
Cataluña,2019,Holanda,11442
Cava,2019,Holanda,39430
Cebreros,2019,Holanda,0
Chacolí de Álava,2019,Holanda,0
Chacolí de Bizkaia,2019,Holanda,62
Chacolí de Getaria,2019,Holanda,37
Cigales,2019,Holanda,230
Conca de Barberá,2019,Holanda,71
Condado de Huelva,2019,Holanda,34
Costers del Segre,2019,Holanda,464
Dehesa del Carrizal,2019,Holanda,0
Dominio de Valdepusa,2019,Holanda,0
El Hierro,2019,Holanda,0
El Terrerazo,2019,Holanda,29
Empordà,2019,Holanda,395
Finca Élez,2019,Holanda,0
Gran Canaria,2019,Holanda,0
Granada,2019,Holanda,3
Guijoso,2019,Holanda,1
Islas Canarias,2019,Holanda,0
Jerez-Xérès-Sherry,2019,Holanda,40078
Jumilla,2019,Holanda,4081
La Gomera,2019,Holanda,0
La Mancha,2019,Holanda,11600
La Palma,2019,Holanda,0
Lanzarote,2019,Holanda,0
Lebrija,2019,Holanda,0
León,2019,Holanda,0
Los Balagueses,2019,Holanda,2
Málaga,2019,Holanda,2795
Manchuela,2019,Holanda,342
Manzanilla S.B.,2019,Holanda,650
Méntrida,2019,Holanda,9
Mondéjar,2019,Holanda,0
Monterrei,2019,Holanda,666
Montilla-Moriles,2019,Holanda,4611
Montsant,2019,Holanda,285
Navarra,2019,Holanda,8093
Pago de Arínzano,2019,Holanda,3
Pago de Otazu,2019,Holanda,2
Pago Florentino,2019,Holanda,1
Penedés,2019,Holanda,1895
Pla de Bages,2019,Holanda,104
Pla i Llevant,2019,Holanda,4
Prado de Irache,2019,Holanda,0
Priorat,2019,Holanda,528
Rías Baixas,2019,Holanda,2465
Ribeira Sacra,2019,Holanda,26
Ribeiro,2019,Holanda,224
Ribera del Duero,2019,Holanda,3884
Ribera del Guadiana,2019,Holanda,0
Ribera del Júcar,2019,Holanda,9
Rioja,2019,Holanda,36718
Rueda,2019,Holanda,22046
Sierra de Salamanca,2019,Holanda,2
Sierras de Málaga,2019,Holanda,10
Somontano,2019,Holanda,2292
Tacoronte-Acentejo,2019,Holanda,0
Tarragona,2019,Holanda,412
Terra Alta,2019,Holanda,0
Tierra del Vino de Zamora,2019,Holanda,5
Toro,2019,Holanda,1865
Uclés,2019,Holanda,1994
Utiel-Requena,2019,Holanda,12556
Valdeorras,2019,Holanda,128
Valdepeñas,2019,Holanda,16994
Valencia,2019,Holanda,10041
Valle de Güímar,2019,Holanda,0
Valle de la Orotava,2019,Holanda,11
Valles de Benavente,2019,Holanda,42
Valtiendas,2019,Holanda,0
Vinos de Madrid,2019,Holanda,54
Ycoden-Daute-Isora,2019,Holanda,9
Yecla,2019,Holanda,2803
Abona,2018,Holanda,0
Alella,2018,Holanda,25
Alicante,2018,Holanda,1211
Almansa,2018,Holanda,594
Arlanza,2018,Holanda,6
Arribes,2018,Holanda,0
Aylés,2018,Holanda,7
Bierzo,2018,Holanda,823
Binissalem,2018,Holanda,4
Bullas,2018,Holanda,128
Calatayud,2018,Holanda,158
Calzadilla,2018,Holanda,8
Campo de Borja,2018,Holanda,2782
Campo de la Guardia,2018,Holanda,3
Cangas,2018,Holanda,0
Cariñena,2018,Holanda,6127
Casa del Blanco,2018,Holanda,44
Cataluña,2018,Holanda,15386
Cava,2018,Holanda,33434
Chacolí de Álava,2018,Holanda,0
Chacolí de Bizkaia,2018,Holanda,17
Chacolí de Getaria,2018,Holanda,92
Cigales,2018,Holanda,248
Conca de Barberá,2018,Holanda,40
Condado de Huelva,2018,Holanda,1
Costers del Segre,2018,Holanda,982
Dehesa del Carrizal,2018,Holanda,0
Dominio de Valdepusa,2018,Holanda,0
El Hierro,2018,Holanda,0
El Terrerazo,2018,Holanda,29
Empordà,2018,Holanda,246
Finca Élez,2018,Holanda,0
Gran Canaria,2018,Holanda,0
Granada,2018,Holanda,20
Guijoso,2018,Holanda,0
Islas Canarias,2018,Holanda,0
Jerez-Xérès-Sherry,2018,Holanda,41099
Jumilla,2018,Holanda,5559
La Gomera,2018,Holanda,0
La Mancha,2018,Holanda,16424
La Palma,2018,Holanda,0
Lanzarote,2018,Holanda,0
Lebrija,2018,Holanda,0
Los Balagueses,2018,Holanda,1
Málaga,2018,Holanda,25
Manchuela,2018,Holanda,439
Manzanilla S.B.,2018,Holanda,544
Méntrida,2018,Holanda,54
Mondéjar,2018,Holanda,0
Monterrei,2018,Holanda,555
Montilla-Moriles,2018,Holanda,4364
Montsant,2018,Holanda,480
Navarra,2018,Holanda,7799
Pago de Arínzano,2018,Holanda,0
Pago de Otazu,2018,Holanda,1
Pago Florentino,2018,Holanda,1
Penedés,2018,Holanda,1253
Pla de Bages,2018,Holanda,104
Pla i Llevant,2018,Holanda,0
Prado de Irache,2018,Holanda,0
Priorat,2018,Holanda,536
Rías Baixas,2018,Holanda,3343
Ribeira Sacra,2018,Holanda,37
Ribeiro,2018,Holanda,88
Ribera del Duero,2018,Holanda,4476
Ribera del Guadiana,2018,Holanda,399
Ribera del Júcar,2018,Holanda,13
Rioja,2018,Holanda,37708
Rueda,2018,Holanda,25353
Sierra de Salamanca,2018,Holanda,3
Sierras de Málaga,2018,Holanda,8
Somontano,2018,Holanda,5487
Tacoronte-Acentejo,2018,Holanda,0
Tarragona,2018,Holanda,288
Terra Alta,2018,Holanda,938
Tierra de León,2018,Holanda,150
Tierra del Vino de Zamora,2018,Holanda,4
Toro,2018,Holanda,2004
Uclés,2018,Holanda,1817
Utiel-Requena,2018,Holanda,8065
Valdeorras,2018,Holanda,164
Valdepeñas,2018,Holanda,8093
Valencia,2018,Holanda,13086
Valle de Güímar,2018,Holanda,0
Valle de la Orotava,2018,Holanda,0
Valles de Benavente,2018,Holanda,75
Valtiendas,2018,Holanda,0
Vinos de Madrid,2018,Holanda,47
Ycoden-Daute-Isora,2018,Holanda,12
Yecla,2018,Holanda,642
Abona,2017,Holanda,0
Alella,2017,Holanda,0
Alicante,2017,Holanda,1132
Almansa,2017,Holanda,1034
Arlanza,2017,Holanda,14
Arribes,2017,Holanda,0
Aylés,2017,Holanda,2
Bierzo,2017,Holanda,848
Binissalem,2017,Holanda,9
Bullas,2017,Holanda,86
Calatayud,2017,Holanda,193
Calzadilla,2017,Holanda,13
Campo de Borja,2017,Holanda,2899
Campo de la Guardia,2017,Holanda,0
Cangas,2017,Holanda,0
Cariñena,2017,Holanda,10274
Casa del Blanco,2017,Holanda,52
Cataluña,2017,Holanda,20283
Cava,2017,Holanda,30126
Chacolí de Álava,2017,Holanda,0
Chacolí de Bizkaia,2017,Holanda,36
Chacolí de Getaria,2017,Holanda,29
Cigales,2017,Holanda,146
Conca de Barberá,2017,Holanda,162
Condado de Huelva,2017,Holanda,0
Costers del Segre,2017,Holanda,1300
Dehesa del Carrizal,2017,Holanda,0
Dominio de Valdepusa,2017,Holanda,0
El Hierro,2017,Holanda,0
El Terrerazo,2017,Holanda,38
Empordà,2017,Holanda,348
Finca Élez,2017,Holanda,0
Gran Canaria,2017,Holanda,0
Granada,2017,Holanda,1
Guijoso,2017,Holanda,1
Islas Canarias,2017,Holanda,0
Jerez-Xérès-Sherry,2017,Holanda,54095
Jumilla,2017,Holanda,6744
La Gomera,2017,Holanda,0
La Mancha,2017,Holanda,9934
La Palma,2017,Holanda,0
Lanzarote,2017,Holanda,0
Lebrija,2017,Holanda,0
Los Balagueses,2017,Holanda,1
Málaga,2017,Holanda,635
Manchuela,2017,Holanda,242
Manzanilla S.B.,2017,Holanda,638
Méntrida,2017,Holanda,28
Mondéjar,2017,Holanda,0
Monterrei,2017,Holanda,1557
Montilla-Moriles,2017,Holanda,5948
Montsant,2017,Holanda,398
Navarra,2017,Holanda,8502
Pago de Arínzano,2017,Holanda,0
Pago de Otazu,2017,Holanda,1
Pago Florentino,2017,Holanda,1
Penedés,2017,Holanda,1447
Pla de Bages,2017,Holanda,228
Pla i Llevant,2017,Holanda,1
Prado de Irache,2017,Holanda,0
Priorat,2017,Holanda,392
Rías Baixas,2017,Holanda,2160
Ribeira Sacra,2017,Holanda,17
Ribeiro,2017,Holanda,186
Ribera del Duero,2017,Holanda,10996
Ribera del Guadiana,2017,Holanda,22
Ribera del Júcar,2017,Holanda,105
Rioja,2017,Holanda,35239
Rueda,2017,Holanda,12735
Sierra de Salamanca,2017,Holanda,2
Sierras de Málaga,2017,Holanda,0
Somontano,2017,Holanda,4719
Tacoronte-Acentejo,2017,Holanda,0
Tarragona,2017,Holanda,322
Terra Alta,2017,Holanda,1836
Tierra de León,2017,Holanda,3
Tierra del Vino de Zamora,2017,Holanda,7
Toro,2017,Holanda,1673
Uclés,2017,Holanda,8254
Utiel-Requena,2017,Holanda,6233
Valdeorras,2017,Holanda,247
Valdepeñas,2017,Holanda,8661
Valencia,2017,Holanda,13523
Valle de Güímar,2017,Holanda,0
Valle de la Orotava,2017,Holanda,15
Valles de Benavente,2017,Holanda,67
Valtiendas,2017,Holanda,0
Vinos de Madrid,2017,Holanda,32
Ycoden-Daute-Isora,2017,Holanda,0
Yecla,2017,Holanda,641
Abona,2016,Holanda,0
Alella,2016,Holanda,0
Alicante,2016,Holanda,1435
Almansa,2016,Holanda,1001
Arlanza,2016,Holanda,7
Arribes,2016,Holanda,11
Aylés,2016,Holanda,6
Bierzo,2016,Holanda,919
Binissalem,2016,Holanda,0
Bullas,2016,Holanda,179
Calatayud,2016,Holanda,1549
Calzadilla,2016,Holanda,8
Campo de Borja,2016,Holanda,3322
Campo de la Guardia,2016,Holanda,0
Cangas,2016,Holanda,0
Cariñena,2016,Holanda,9462
Casa del Blanco,2016,Holanda,37
Cataluña,2016,Holanda,25825
Cava,2016,Holanda,25214
Chacolí de Álava,2016,Holanda,0
Chacolí de Bizkaia,2016,Holanda,13
Chacolí de Getaria,2016,Holanda,71
Cigales,2016,Holanda,295
Conca de Barberá,2016,Holanda,41
Condado de Huelva,2016,Holanda,0
Costers del Segre,2016,Holanda,1122
Dehesa del Carrizal,2016,Holanda,0
Dominio de Valdepusa,2016,Holanda,0
El Hierro,2016,Holanda,0
El Terrerazo,2016,Holanda,21
Empordà,2016,Holanda,359
Finca Élez,2016,Holanda,0
Gran Canaria,2016,Holanda,0
Granada,2016,Holanda,0
Guijoso,2016,Holanda,0
Islas Canarias,2016,Holanda,0
Jerez-Xérès-Sherry,2016,Holanda,55097
Jumilla,2016,Holanda,6967
La Gomera,2016,Holanda,0
La Mancha,2016,Holanda,8328
La Palma,2016,Holanda,0
Lanzarote,2016,Holanda,0
Lebrija,2016,Holanda,0
Los Balagueses,2016,Holanda,0
Málaga,2016,Holanda,3
Manchuela,2016,Holanda,339
Manzanilla S.B.,2016,Holanda,911
Méntrida,2016,Holanda,25
Mondéjar,2016,Holanda,0
Monterrei,2016,Holanda,516
Montilla-Moriles,2016,Holanda,6226
Montsant,2016,Holanda,392
Navarra,2016,Holanda,11825
Pago de Arínzano,2016,Holanda,0
Pago de Otazu,2016,Holanda,0
Pago Florentino,2016,Holanda,4
Penedés,2016,Holanda,1362
Pla de Bages,2016,Holanda,99
Pla i Llevant,2016,Holanda,0
Prado de Irache,2016,Holanda,0
Priorat,2016,Holanda,442
Rías Baixas,2016,Holanda,2418
Ribeira Sacra,2016,Holanda,22
Ribeiro,2016,Holanda,195
Ribera del Duero,2016,Holanda,6699
Ribera del Guadiana,2016,Holanda,19
Ribera del Júcar,2016,Holanda,21
Rioja,2016,Holanda,39549
Rueda,2016,Holanda,20173
Sierra de Salamanca,2016,Holanda,2
Sierras de Málaga,2016,Holanda,6
Somontano,2016,Holanda,5792
Tacoronte-Acentejo,2016,Holanda,0
Tarragona,2016,Holanda,353
Terra Alta,2016,Holanda,5545
Tierra de León,2016,Holanda,0
Tierra del Vino de Zamora,2016,Holanda,3
Toro,2016,Holanda,1106
Uclés,2016,Holanda,7749
Utiel-Requena,2016,Holanda,6456
Valdeorras,2016,Holanda,267
Valdepeñas,2016,Holanda,17336
Valencia,2016,Holanda,15450
Valle de Güímar,2016,Holanda,0
Valle de la Orotava,2016,Holanda,15
Valles de Benavente,2016,Holanda,31
Valtiendas,2016,Holanda,0
Vinos de Madrid,2016,Holanda,78
Ycoden-Daute-Isora,2016,Holanda,0
Yecla,2016,Holanda,914
Abona,2015,Holanda,0
Alella,2015,Holanda,0
Alicante,2015,Holanda,877
Almansa,2015,Holanda,598
Arlanza,2015,Holanda,12
Arribes,2015,Holanda,0
Aylés,2015,Holanda,8
Bierzo,2015,Holanda,730
Binissalem,2015,Holanda,7
Bullas,2015,Holanda,77
Calatayud,2015,Holanda,1692
Calzadilla,2015,Holanda,1
Campo de Borja,2015,Holanda,3572
Campo de la Guardia,2015,Holanda,0
Cangas,2015,Holanda,10
Cariñena,2015,Holanda,9505
Casa del Blanco,2015,Holanda,33
Cataluña,2015,Holanda,24800
Cava,2015,Holanda,19609
Chacolí de Álava,2015,Holanda,0
Chacolí de Bizkaia,2015,Holanda,24
Chacolí de Getaria,2015,Holanda,53
Cigales,2015,Holanda,293
Conca de Barberá,2015,Holanda,48
Condado de Huelva,2015,Holanda,0
Costers del Segre,2015,Holanda,1038
Dehesa del Carrizal,2015,Holanda,0
Dominio de Valdepusa,2015,Holanda,1
El Hierro,2015,Holanda,0
El Terrerazo,2015,Holanda,0
Empordà,2015,Holanda,220
Finca Élez,2015,Holanda,0
Gran Canaria,2015,Holanda,0
Granada,2015,Holanda,0
Guijoso,2015,Holanda,0
Islas Canarias,2015,Holanda,0
Jerez-Xérès-Sherry,2015,Holanda,63179
Jumilla,2015,Holanda,2308
La Gomera,2015,Holanda,0
La Mancha,2015,Holanda,9552
La Palma,2015,Holanda,0
Lanzarote,2015,Holanda,0
Lebrija,2015,Holanda,0
Los Balagueses,2015,Holanda,0
Málaga,2015,Holanda,4
Manchuela,2015,Holanda,121
Manzanilla S.B.,2015,Holanda,801
Méntrida,2015,Holanda,3
Mondéjar,2015,Holanda,0
Monterrei,2015,Holanda,529
Montilla-Moriles,2015,Holanda,5972
Montsant,2015,Holanda,595
Navarra,2015,Holanda,14391
Pago de Arínzano,2015,Holanda,0
Pago de Otazu,2015,Holanda,0
Pago Florentino,2015,Holanda,2
Penedés,2015,Holanda,1525
Pla de Bages,2015,Holanda,66
Pla i Llevant,2015,Holanda,11
Prado de Irache,2015,Holanda,0
Priorat,2015,Holanda,378
Rías Baixas,2015,Holanda,2306
Ribeira Sacra,2015,Holanda,12
Ribeiro,2015,Holanda,195
Ribera del Duero,2015,Holanda,3824
Ribera del Guadiana,2015,Holanda,113
Ribera del Júcar,2015,Holanda,24
Rioja,2015,Holanda,35917
Rueda,2015,Holanda,22905
Sierra de Salamanca,2015,Holanda,0
Sierras de Málaga,2015,Holanda,2
Somontano,2015,Holanda,3112
Tacoronte-Acentejo,2015,Holanda,0
Tarragona,2015,Holanda,286
Terra Alta,2015,Holanda,3249
Tierra de León,2015,Holanda,0
Tierra del Vino de Zamora,2015,Holanda,3
Toro,2015,Holanda,1140
Uclés,2015,Holanda,7413
Utiel-Requena,2015,Holanda,6493
Valdeorras,2015,Holanda,350
Valdepeñas,2015,Holanda,9274
Valencia,2015,Holanda,11674
Valle de Güímar,2015,Holanda,0
Valle de la Orotava,2015,Holanda,9
Valles de Benavente,2015,Holanda,32
Valtiendas,2015,Holanda,0
Vinos de Madrid,2015,Holanda,75
Ycoden-Daute-Isora,2015,Holanda,0
Yecla,2015,Holanda,975
Abona,2014,Holanda,0
Alella,2014,Holanda,25
Alicante,2014,Holanda,1570
Almansa,2014,Holanda,485
Arlanza,2014,Holanda,30
Arribes,2014,Holanda,7
Aylés,2014,Holanda,0
Bierzo,2014,Holanda,222
Binissalem,2014,Holanda,12
Bullas,2014,Holanda,97
Calatayud,2014,Holanda,3351
Calzadilla,2014,Holanda,0
Campo de Borja,2014,Holanda,5443
Campo de la Guardia,2014,Holanda,19
Cangas,2014,Holanda,0
Cariñena,2014,Holanda,10568
Casa del Blanco,2014,Holanda,5
Cataluña,2014,Holanda,25864
Cava,2014,Holanda,19563
Chacolí de Álava,2014,Holanda,30
Chacolí de Bizkaia,2014,Holanda,10
Chacolí de Getaria,2014,Holanda,31
Cigales,2014,Holanda,347
Conca de Barberá,2014,Holanda,110
Condado de Huelva,2014,Holanda,0
Costers del Segre,2014,Holanda,1388
Dehesa del Carrizal,2014,Holanda,0
Dominio de Valdepusa,2014,Holanda,4
El Hierro,2014,Holanda,0
El Terrerazo,2014,Holanda,0
Empordà,2014,Holanda,228
Finca Élez,2014,Holanda,0
Gran Canaria,2014,Holanda,0
Granada,2014,Holanda,18
Guijoso,2014,Holanda,0
Islas Canarias,2014,Holanda,0
Jerez-Xérès-Sherry,2014,Holanda,62797
Jumilla,2014,Holanda,2868
La Gomera,2014,Holanda,0
La Mancha,2014,Holanda,16943
La Palma,2014,Holanda,0
Lanzarote,2014,Holanda,0
Lebrija,2014,Holanda,0
Los Balagueses,2014,Holanda,0
Málaga,2014,Holanda,53
Manchuela,2014,Holanda,98
Manzanilla S.B.,2014,Holanda,1315
Méntrida,2014,Holanda,0
Mondéjar,2014,Holanda,0
Monterrei,2014,Holanda,54
Montilla-Moriles,2014,Holanda,6437
Montsant,2014,Holanda,406
Navarra,2014,Holanda,13004
Pago de Arínzano,2014,Holanda,0
Pago de Otazu,2014,Holanda,4
Pago Florentino,2014,Holanda,2
Penedés,2014,Holanda,1544
Pla de Bages,2014,Holanda,81
Pla i Llevant,2014,Holanda,5
Prado de Irache,2014,Holanda,0
Priorat,2014,Holanda,456
Rías Baixas,2014,Holanda,2344
Ribeira Sacra,2014,Holanda,3
Ribeiro,2014,Holanda,496
Ribera del Duero,2014,Holanda,3498
Ribera del Guadiana,2014,Holanda,79
Ribera del Júcar,2014,Holanda,20
Rioja,2014,Holanda,35247
Rueda,2014,Holanda,24873
Sierra de Salamanca,2014,Holanda,0
Sierras de Málaga,2014,Holanda,1
Somontano,2014,Holanda,6048
Tacoronte-Acentejo,2014,Holanda,0
Tarragona,2014,Holanda,323
Terra Alta,2014,Holanda,393
Tierra de León,2014,Holanda,0
Tierra del Vino de Zamora,2014,Holanda,3
Toro,2014,Holanda,1070
Uclés,2014,Holanda,1613
Utiel-Requena,2014,Holanda,6894
Valdeorras,2014,Holanda,179
Valdepeñas,2014,Holanda,17479
Valencia,2014,Holanda,12349
Valle de Güímar,2014,Holanda,0
Valle de la Orotava,2014,Holanda,9
Valles de Benavente,2014,Holanda,83
Valtiendas,2014,Holanda,0
Vinos de Madrid,2014,Holanda,169
Ycoden-Daute-Isora,2014,Holanda,0
Yecla,2014,Holanda,787
Abadía Retuerta,2023,Hungria,0
Abona,2023,Hungria,0
Alella,2023,Hungria,0
Alicante,2023,Hungria,43
Almansa,2023,Hungria,3
Arlanza,2023,Hungria,0
Arribes,2023,Hungria,0
Aylés,2023,Hungria,0
Bierzo,2023,Hungria,8
Binissalem,2023,Hungria,0
Bolandin,2023,Hungria,0
Bullas,2023,Hungria,6
Calatayud,2023,Hungria,4
Calzadilla,2023,Hungria,0
Campo de Borja,2023,Hungria,73
Campo de la Guardia,2023,Hungria,0
Cangas,2023,Hungria,0
Cariñena,2023,Hungria,608
Casa del Blanco,2023,Hungria,0
Cataluña,2023,Hungria,3
Cava,2023,Hungria,711
Cebreros,2023,Hungria,0
Chacolí de Álava,2023,Hungria,0
Chacolí de Bizkaia,2023,Hungria,0
Chacolí de Getaria,2023,Hungria,3
Chozas Carrascal,2023,Hungria,0
Cigales,2023,Hungria,0
Conca de Barberá,2023,Hungria,0
Condado de Huelva,2023,Hungria,0
Costers del Segre,2023,Hungria,2
Dehesa del Carrizal,2023,Hungria,0
Dehesa Peñalba,2023,Hungria,0
Dominio de Valdepusa,2023,Hungria,0
El Hierro,2023,Hungria,0
El Terrerazo,2023,Hungria,0
Empordà,2023,Hungria,1
Finca Élez,2023,Hungria,0
Gran Canaria,2023,Hungria,0
Granada,2023,Hungria,0
Guijoso,2023,Hungria,0
Islas Canarias,2023,Hungria,0
Jerez-Xérès-Sherry,2023,Hungria,110
Jumilla,2023,Hungria,20
La Gomera,2023,Hungria,0
La Mancha,2023,Hungria,8
La Palma,2023,Hungria,0
Lanzarote,2023,Hungria,0
Lebrija,2023,Hungria,0
León,2023,Hungria,22
Los Balagueses,2023,Hungria,0
Málaga,2023,Hungria,0
Manchuela,2023,Hungria,23
Manzanilla S.B.,2023,Hungria,0
Méntrida,2023,Hungria,0
Mondéjar,2023,Hungria,0
Monterrei,2023,Hungria,0
Montilla-Moriles,2023,Hungria,0
Montsant,2023,Hungria,29
Navarra,2023,Hungria,12
Pago de Arínzano,2023,Hungria,0
Pago de Otazu,2023,Hungria,0
Pago El Vicario,2023,Hungria,0
Pago Florentino,2023,Hungria,0
Pago La Jaraba,2023,Hungria,0
Pago Los Cerrillos,2023,Hungria,0
Pago Vallegarcía,2023,Hungria,0
Penedés,2023,Hungria,29
Pla de Bages,2023,Hungria,0
Pla i Llevant,2023,Hungria,0
Prado de Irache,2023,Hungria,0
Priorat,2023,Hungria,6
Rías Baixas,2023,Hungria,67
Ribeira Sacra,2023,Hungria,1
Ribeiro,2023,Hungria,0
Ribera del Duero,2023,Hungria,28
Ribera del Guadiana,2023,Hungria,19
Ribera del Júcar,2023,Hungria,0
Rioja,2023,Hungria,152
Rueda,2023,Hungria,42
Sierra de Salamanca,2023,Hungria,0
Sierras de Málaga,2023,Hungria,0
Somontano,2023,Hungria,13
Tacoronte-Acentejo,2023,Hungria,0
Tarragona,2023,Hungria,0
Terra Alta,2023,Hungria,0
Tierra del Vino de Zamora,2023,Hungria,0
Toro,2023,Hungria,17
Uclés,2023,Hungria,0
Urueña,2023,Hungria,0
Utiel-Requena,2023,Hungria,110
Valdeorras,2023,Hungria,0
Valdepeñas,2023,Hungria,0
Valencia,2023,Hungria,165
Valle de Güímar,2023,Hungria,0
Valle de la Orotava,2023,Hungria,0
Valles de Benavente,2023,Hungria,0
Valtiendas,2023,Hungria,0
Vera de Estenas,2023,Hungria,0
Vinos de Madrid,2023,Hungria,0
Ycoden-Daute-Isora,2023,Hungria,0
Yecla,2023,Hungria,0
Abadía Retuerta,2022,Hungria,0
Abona,2022,Hungria,0
Alella,2022,Hungria,0
Alicante,2022,Hungria,28
Almansa,2022,Hungria,16
Arlanza,2022,Hungria,0
Arribes,2022,Hungria,0
Aylés,2022,Hungria,0
Bierzo,2022,Hungria,5
Binissalem,2022,Hungria,0
Bolandin,2022,Hungria,0
Bullas,2022,Hungria,0
Calatayud,2022,Hungria,3
Calzadilla,2022,Hungria,0
Campo de Borja,2022,Hungria,60
Campo de la Guardia,2022,Hungria,0
Cangas,2022,Hungria,0
Cariñena,2022,Hungria,396
Casa del Blanco,2022,Hungria,0
Cataluña,2022,Hungria,351
Cava,2022,Hungria,519
Cebreros,2022,Hungria,0
Chacolí de Álava,2022,Hungria,0
Chacolí de Bizkaia,2022,Hungria,0
Chacolí de Getaria,2022,Hungria,7
Chozas Carrascal,2022,Hungria,0
Cigales,2022,Hungria,0
Conca de Barberá,2022,Hungria,0
Condado de Huelva,2022,Hungria,0
Costers del Segre,2022,Hungria,0
Dehesa del Carrizal,2022,Hungria,0
Dehesa Peñalba,2022,Hungria,0
Dominio de Valdepusa,2022,Hungria,0
El Hierro,2022,Hungria,0
El Terrerazo,2022,Hungria,0
Empordà,2022,Hungria,1
Finca Élez,2022,Hungria,0
Gran Canaria,2022,Hungria,0
Granada,2022,Hungria,0
Guijoso,2022,Hungria,0
Islas Canarias,2022,Hungria,0
Jerez-Xérès-Sherry,2022,Hungria,117
Jumilla,2022,Hungria,29
La Gomera,2022,Hungria,0
La Mancha,2022,Hungria,6
La Palma,2022,Hungria,0
Lanzarote,2022,Hungria,0
Lebrija,2022,Hungria,0
León,2022,Hungria,0
Los Balagueses,2022,Hungria,0
Málaga,2022,Hungria,0
Manchuela,2022,Hungria,14
Manzanilla S.B.,2022,Hungria,1
Méntrida,2022,Hungria,0
Mondéjar,2022,Hungria,0
Monterrei,2022,Hungria,0
Montilla-Moriles,2022,Hungria,0
Montsant,2022,Hungria,10
Navarra,2022,Hungria,4
Pago de Arínzano,2022,Hungria,0
Pago de Otazu,2022,Hungria,0
Pago El Vicario,2022,Hungria,0
Pago Florentino,2022,Hungria,0
Pago La Jaraba,2022,Hungria,0
Pago Los Cerrillos,2022,Hungria,0
Pago Vallegarcía,2022,Hungria,3
Penedés,2022,Hungria,15
Pla de Bages,2022,Hungria,0
Pla i Llevant,2022,Hungria,0
Prado de Irache,2022,Hungria,0
Priorat,2022,Hungria,3
Rías Baixas,2022,Hungria,50
Ribeira Sacra,2022,Hungria,0
Ribeiro,2022,Hungria,0
Ribera del Duero,2022,Hungria,35
Ribera del Guadiana,2022,Hungria,0
Ribera del Júcar,2022,Hungria,0
Rioja,2022,Hungria,124
Rueda,2022,Hungria,44
Sierra de Salamanca,2022,Hungria,0
Sierras de Málaga,2022,Hungria,0
Somontano,2022,Hungria,12
Tacoronte-Acentejo,2022,Hungria,0
Tarragona,2022,Hungria,147
Terra Alta,2022,Hungria,0
Tierra del Vino de Zamora,2022,Hungria,0
Toro,2022,Hungria,22
Uclés,2022,Hungria,0
Urueña,2022,Hungria,0
Utiel-Requena,2022,Hungria,82
Valdeorras,2022,Hungria,0
Valdepeñas,2022,Hungria,0
Valencia,2022,Hungria,28
Valle de Güímar,2022,Hungria,0
Valle de la Orotava,2022,Hungria,0
Valles de Benavente,2022,Hungria,5
Valtiendas,2022,Hungria,0
Vera de Estenas,2022,Hungria,0
Vinos de Madrid,2022,Hungria,0
Ycoden-Daute-Isora,2022,Hungria,0
Yecla,2022,Hungria,0
Abona,2021,Hungria,0
Alella,2021,Hungria,0
Alicante,2021,Hungria,13
Almansa,2021,Hungria,3
Arlanza,2021,Hungria,0
Arribes,2021,Hungria,0
Aylés,2021,Hungria,0
Bierzo,2021,Hungria,4
Binissalem,2021,Hungria,0
Bullas,2021,Hungria,0
Calatayud,2021,Hungria,0
Calzadilla,2021,Hungria,0
Campo de Borja,2021,Hungria,40
Campo de la Guardia,2021,Hungria,0
Cangas,2021,Hungria,0
Cariñena,2021,Hungria,33
Casa del Blanco,2021,Hungria,0
Cataluña,2021,Hungria,784
Cava,2021,Hungria,295
Cebreros,2021,Hungria,0
Chacolí de Álava,2021,Hungria,0
Chacolí de Bizkaia,2021,Hungria,0
Chacolí de Getaria,2021,Hungria,2
Chozas Carrascal,2021,Hungria,0
Cigales,2021,Hungria,0
Conca de Barberá,2021,Hungria,0
Condado de Huelva,2021,Hungria,0
Costers del Segre,2021,Hungria,1
Dehesa del Carrizal,2021,Hungria,0
Dominio de Valdepusa,2021,Hungria,0
El Hierro,2021,Hungria,0
El Terrerazo,2021,Hungria,0
Empordà,2021,Hungria,0
Finca Élez,2021,Hungria,0
Gran Canaria,2021,Hungria,0
Granada,2021,Hungria,0
Guijoso,2021,Hungria,0
Islas Canarias,2021,Hungria,0
Jerez-Xérès-Sherry,2021,Hungria,37
Jumilla,2021,Hungria,164
La Gomera,2021,Hungria,0
La Mancha,2021,Hungria,33
La Palma,2021,Hungria,0
Lanzarote,2021,Hungria,0
Lebrija,2021,Hungria,0
León,2021,Hungria,0
Los Balagueses,2021,Hungria,0
Málaga,2021,Hungria,0
Manchuela,2021,Hungria,8
Manzanilla S.B.,2021,Hungria,1
Méntrida,2021,Hungria,0
Mondéjar,2021,Hungria,0
Monterrei,2021,Hungria,5
Montilla-Moriles,2021,Hungria,0
Montsant,2021,Hungria,1
Navarra,2021,Hungria,1
Pago de Arínzano,2021,Hungria,0
Pago de Otazu,2021,Hungria,0
