DOPs,Año,País,Ventas
Rioja,2022,Alemania,137830
Rueda,2022,Alemania,19982
Sierra de Salamanca,2022,Alemania,19
Sierras de Málaga,2022,Alemania,31
Somontano,2022,Alemania,2884
Tacoronte-Acentejo,2022,Alemania,4
Tarragona,2022,Alemania,678
Terra Alta,2022,Alemania,513
Tierra del Vino de Zamora,2022,Alemania,30
Toro,2022,Alemania,5016
Uclés,2022,Alemania,98
Urueña,2022,Alemania,0
Utiel-Requena,2022,Alemania,9426
Valdeorras,2022,Alemania,126
Valdepeñas,2022,Alemania,17487
Valencia,2022,Alemania,24846
Valle de Güímar,2022,Alemania,0
Valle de la Orotava,2022,Alemania,42
Valles de Benavente,2022,Alemania,190
Valtiendas,2022,Alemania,0
Vera de Estenas,2022,Alemania,0
Vinos de Madrid,2022,Alemania,324
Ycoden-Daute-Isora,2022,Alemania,17
Yecla,2022,Alemania,6453
Abona,2021,Alemania,0
Alella,2021,Alemania,84
Alicante,2021,Alemania,6893
Almansa,2021,Alemania,4721
Arlanza,2021,Alemania,0
Arribes,2021,Alemania,7
Aylés,2021,Alemania,114
Bierzo,2021,Alemania,2543
Binissalem,2021,Alemania,376
Bullas,2021,Alemania,2568
Calatayud,2021,Alemania,2250
Calzadilla,2021,Alemania,32
Campo de Borja,2021,Alemania,7318
Campo de la Guardia,2021,Alemania,25
Cangas,2021,Alemania,0
Cariñena,2021,Alemania,40942
Casa del Blanco,2021,Alemania,4
Cataluña,2021,Alemania,12239
Cava,2021,Alemania,222248
Cebreros,2021,Alemania,0
Chacolí de Álava,2021,Alemania,15
Chacolí de Bizkaia,2021,Alemania,14
Chacolí de Getaria,2021,Alemania,56
Chozas Carrascal,2021,Alemania,0
Cigales,2021,Alemania,202
Conca de Barberá,2021,Alemania,72
Condado de Huelva,2021,Alemania,5
Costers del Segre,2021,Alemania,318
Dehesa del Carrizal,2021,Alemania,22
Dominio de Valdepusa,2021,Alemania,34
El Hierro,2021,Alemania,0
El Terrerazo,2021,Alemania,9
Empordà,2021,Alemania,527
Finca Élez,2021,Alemania,0
Gran Canaria,2021,Alemania,0
Granada,2021,Alemania,45
Guijoso,2021,Alemania,0
Islas Canarias,2021,Alemania,7
Jerez-Xérès-Sherry,2021,Alemania,18105
Jumilla,2021,Alemania,17993
La Gomera,2021,Alemania,0
La Mancha,2021,Alemania,38351
La Palma,2021,Alemania,13
Lanzarote,2021,Alemania,38
