DOPs;Año;Alemania;Austria;Bélgica;Bulgaria;Chipre;Croacia;Dinamarca;Eslovaquia;Eslovenia;Estonia;Finlandia;Francia;Grecia;Holanda;Hungria;Irlanda;Italia;Letonia;Lituania;Luxemburgo;Malta;Polonia;Portugal;Repùblica Checa;Rumania;Suecia;Noruega;Suiza;Reino Unido;Rusia;Resto Europa no E.U.;Argentina;Brasil;Canadá;Colombia;EE.UU.;México;Venezuela;Resto América;Corea;China;India;Japón;Resto Asia;Australia;Resto Oceanía;Resto países;Blanco;Rosado;Tinto;De licor;Espumoso;Deaguja;Otros;€/hl
Vera de Estenas;2023;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;3;0;0;0;0;1338,166667
Vinos de Madrid;2023;285;320;15;2;0;0;42;0;0;0;34;13;0;28;0;64;25;0;0;0;0;14;215;6;0;379;25;303;67;25;62;0;19;146;0;1362;29;5;35;0;267;0;74;27;39;0;105;461;163;3408;0;0;0;0;452,328125
Ycoden-Daute-Isora;2023;14;7;9;0;0;0;4;0;0;0;1;4;0;7;0;0;4;0;0;0;0;2;9;4;0;14;8;5;23;0;0;9;2;70;0;109;0;0;1;0;0;0;10;0;28;8;4;169;11;176;0;0;0;0;3102,52809
Yecla;2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abadía Retuerta;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abona;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alella;2022;84;0;272;0;9;26;0;0;0;0;0;3;5;25;0;0;12;5;3;0;0;0;0;0;0;3;0;74;38;0;108;0;0;1;16;41;1;0;126;0;39;0;27;3;14;0;0;611;21;118;15;169;1;0;264,402139
Alicante;2022;6733;9;1560;83;0;0;535;19;0;93;260;1072;3;1704;28;135;642;33;369;81;0;1985;255;44;10;1274;23;583;1622;204;242;0;270;751;0;2372;156;0;133;555;1320;0;596;709;51;0;2046;6630;1364;20185;49;328;0;4;245,3216387
Almansa;2022;3328;22;1019;4;0;5;680;0;0;1956;8038;110;2;2277;16;14;448;793;5;4;0;285;0;5;65;893;0;601;631;358;251;0;71;10025;23;2200;0;0;247;757;3597;0;1143;1715;3;191;72;8596;503;32755;0;0;0;0;303,1346825
Arlanza;2022;5;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;5;6;0;4;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;360
Arribes;2022;8;0;107;10;0;0;192;9;0;6;0;4;0;81;0;0;22;0;0;0;0;3;9;16;7;0;468;50;513;23;8;0;0;0;0;26;40;0;0;0;103;0;26;0;6;0;0;36;4;1697;0;0;0;0;600
Aylés;2022;193;16;14;0;0;0;43;0;0;7;0;0;0;52;0;0;0;351;0;7;0;101;0;9;0;0;0;0;6;0;281;0;0;33;0;129;0;0;22;74;40;0;17;11;10;50;3;0;14;1455;0;0;0;0;543,2859088
Bierzo;2022;2543;53;627;0;5;0;478;0;0;28;33;321;6;871;5;62;6;13;0;13;1;114;5;142;0;228;207;677;555;805;52;0;54;1052;0;3222;152;13;162;0;789;282;0;385;104;25;0;915;1019;12156;0;0;0;0;760,581973
Binissalem;2022;373;0;1;0;0;0;14;0;0;2;9;4;0;4;0;0;4;0;0;0;0;0;0;0;0;10;0;366;6;0;0;0;0;1;0;92;0;0;0;0;0;0;9;0;0;0;0;98;34;763;0;0;0;0;987,6569832
Bolandin;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bullas;2022;1460;0;7;0;0;0;605;0;0;0;0;20;0;7;0;15;0;47;0;0;0;250;0;0;10;0;9;5;345;63;38;0;0;74;0;0;0;0;0;51;14;0;172;0;0;0;0;323;62;2807;0;0;0;0;326,4508145
Calatayud;2022;2215;0;710;2;0;0;234;0;0;5;40;922;9;828;3;167;0;11;7;27;1;124;0;0;1;106;14764;330;489;2054;88;0;156;2220;180;11710;27;0;87;181;742;0;543;42;37;61;0;966;386;37771;0;0;0;0;312,4756793
Calzadilla;2022;29;0;9;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;4;0;1;0;38;0;0;0;0;0;4;0;10;0;0;0;0;5;0;2;0;0;0;0;0;0;106;0;0;0;0;1226,415094
Campo de Borja;2022;6201;10;1243;0;212;4;1782;847;0;26;0;154;1;3513;60;264;81;10;3;5;11;553;0;35;12;106;134;931;8413;2405;195;4;241;7424;0;10092;603;88;361;440;6893;594;1638;1033;769;332;178;2556;5076;50263;6;0;0;0;309,7599005
Campo de la Guardia;2022;23;0;32;0;0;0;1;0;0;0;0;1;0;37;0;0;0;0;1;0;0;5;1;0;0;0;0;14;4;0;1;0;0;0;0;20;21;0;0;0;156;0;21;0;0;0;9;11;0;336;0;0;0;0;681,7521614
Cangas;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;12;0;0;0;0;1200
Cariñena;2022;41324;2;1985;474;0;50;1229;5;0;487;172;3346;0;4796;396;423;1625;301;11;111;15;6701;2;582;6;51;486;1591;23231;15313;1993;0;2046;18348;60;12177;2408;0;1123;1474;10636;0;1542;1192;50;157;19;17335;8052;132549;4;0;0;0;258,6471445
Casa del Blanco;2022;0;2;37;0;0;0;0;0;0;0;0;5;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;4;63;0;26;0;0;0;0;585,6741573
Cataluña;2022;9034;238;2508;406;193;13;8986;10;6;2019;2553;1387;1066;3485;351;732;478;9665;2364;110;91;2389;91;113;464;11325;4636;2275;41988;2548;3100;0;684;4507;95;1394;5820;119;3630;136;1474;95;6363;3825;104;36;1726;76043;3572;64991;2;0;24;0;298,2275776
Cava;2022;227690;11801;174211;1623;384;1794;13041;778;271;5469;13600;69428;434;56418;519;3954;3740;4216;6467;5336;66;16369;3492;2040;554;82474;10770;19432;136701;47865;12336;564;9625;23724;1070;176065;5583;1426;22649;6851;5175;81;87129;13369;4956;901;1938;0;0;0;0;1294379;0;0;289,2393209
Cebreros;2022;4;0;165;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;670;0;22;0;5;0;0;0;0;10;0;0;0;0;0;0;2;0;0;0;0;9;180;702;0;0;0;0;305,2188552
Chacolí de Álava;2022;8;0;0;0;0;0;3;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;8;9;0;15;0;0;12;3;5;0;425;0;0;0;0;17;0;9;5;55;0;0;591;5;0;0;0;0;0;350
Chacolí de Bizkaia;2022;8;0;22;0;0;0;2;0;0;0;11;5;0;100;0;2;3;1;0;0;0;0;3;0;0;65;11;14;23;0;0;0;6;45;0;317;0;0;17;0;0;0;35;9;17;0;0;697;1;16;0;2;0;0;798
Chacolí de Getaria;2022;60;0;10;0;14;0;8;3;0;23;81;450;0;66;7;39;7;6;3;0;0;7;0;9;0;227;398;0;443;421;6;0;0;71;0;4609;65;0;24;16;8;0;312;13;30;0;1;5068;2287;59;0;22;0;1;800,0537851
Chozas Carrascal;2022;1;0;5;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;2;0;0;0;1;0;15;5;0;0;0;10;0;0;5;0;0;0;5;0;0;2;0;0;0;1;4;0;51;0;0;0;0;875,5272727
Cigales;2022;287;10;1081;4;0;0;686;3;0;16;27;6;0;218;0;41;0;101;27;83;1;16;0;15;0;39;15;953;67;0;55;0;7;16;0;286;123;0;26;39;144;0;5;27;0;0;0;16;246;4162;0;0;0;0;633
Conca de Barberá;2022;46;1;93;0;0;0;66;2;0;3;5;15;2;62;0;11;0;9;1;1;0;11;3;5;1;41;22;29;80;0;44;0;3;134;0;429;9;0;6;2;30;0;88;23;4;0;225;566;98;842;0;0;0;0;930,9880478
Condado de Huelva;2022;3;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;256;5;260;0;0;0;0;0;0;60;0;0;0;0;0;0;34;0;0;0;0;211;19;33;382;0;0;0;247,9565891
Costers del Segre;2022;285;3;671;0;0;0;262;0;0;58;1128;31;0;409;0;51;11;5;3;1;0;56;0;26;82;160;43;458;586;131;53;0;98;82;0;1728;21;0;84;96;584;0;791;589;9;1;80;3702;339;4633;0;2;0;0;526,038036
Dehesa del Carrizal;2022;25;0;25;0;0;0;0;0;0;0;0;10;0;11;0;0;0;0;3;0;0;0;0;6;0;0;0;20;0;23;0;3;0;3;0;0;0;0;30;51;14;0;16;16;0;0;0;12;0;244;0;0;0;0;825,5625
Dehesa Peñalba;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dominio de Valdepusa;2022;50;0;2;0;0;0;4;4;0;4;0;4;0;1;0;3;0;40;0;2;0;5;0;0;0;11;0;5;8;0;3;0;0;23;0;3;20;0;29;0;0;0;7;0;0;0;0;0;0;228;0;0;0;0;841,8859649
El Hierro;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
El Terrerazo;2022;12;15;15;0;0;0;54;0;0;0;0;1;0;11;0;0;0;0;0;0;0;1;0;0;0;1;0;23;8;0;0;0;0;2;13;113;6;0;5;0;0;0;14;0;0;0;0;0;0;294;0;0;0;0;800
Empordà;2022;298;7;185;3;0;0;46;5;0;0;83;130;0;176;1;4;2;14;0;3;1;48;0;5;0;25;72;387;203;34;73;0;20;283;0;135;17;0;77;99;21;0;23;261;0;0;0;422;131;2139;39;10;0;0;858,0769792
Finca Élez;2022;38;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;4;0;0;0;0;23;0;51;0;0;0;0;92,7027027
Gran Canaria;2022;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;176;0;0;0;0;0;0;5;0;0;0;0;7;0;179;0;0;0;0;492,983871
Granada;2022;273;6;0;0;0;0;320;0;0;0;0;1;0;10;0;0;0;0;0;3;0;0;0;9;0;0;0;1;0;0;0;0;12;0;0;9;0;0;0;0;0;0;0;0;0;0;5;30;10;604;5;0;0;0;494,0061633
Guijoso;2022;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;2;0;0;1;0;0;3;32;0;0;0;0;0;0;7;0;41;0;0;0;0;893,5833333
Islas Canarias;2022;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;3;14;0;0;0;0;30;0;105;0;0;0;0;0;0;3;12;0;0;0;98;14;87;0;0;0;0;884,3768844
Jerez-Xérès-Sherry;2022;18453;315;10536;7;14;4;1550;12;3;58;974;8551;26;36732;117;909;331;506;602;37;28;251;377;183;124;1248;250;658;77028;98;548;34;175;3601;282;8880;786;10;957;193;610;17;862;545;1043;189;18;0;0;0;178732;0;0;0;343,8999955
Jumilla;2022;16249;201;2442;58;2;7;1506;34;0;290;204;810;47;2619;29;709;149;2568;2971;32;36;5100;1;199;151;1301;2644;2954;12289;3728;808;0;2105;0;141;22926;928;289;1413;3321;14950;336;4496;15131;240;59;3349;7875;5288;116340;221;0;0;98;240
La Gomera;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
La Mancha;2022;29795;80;35;2008;39;80;542;815;12;116;2392;1794;51;10700;6;1693;331;5995;8024;18;92;7050;0;648;39;1138;116;6055;2733;9178;10814;0;3382;4297;0;5780;3576;4338;4141;4649;26140;40;8233;2230;51;1195;0;47121;12332;110951;0;37;0;0;220
La Palma;2022;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4;0;0;0;0;2000
Lanzarote;2022;41;0;9;0;0;0;1;0;0;0;0;2;0;0;0;0;8;0;0;0;0;0;0;0;0;4;3;5;5;0;0;0;0;45;0;394;0;0;0;0;0;0;25;0;4;0;0;291;113;101;0;22;0;19;1400
Lebrija;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;706,6666667
León;2022;40;4;58;0;0;0;2;0;0;0;0;1;0;2;0;0;0;6;105;8;0;0;0;2;0;0;0;23;59;0;0;0;0;27;0;85;4;0;0;0;0;0;86;0;0;0;0;262;118;132;0;0;0;0;390
Los Balagueses;2022;5;0;12;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;1;0;0;10;0;0;0;1;1;9;1;18;0;0;0;0;0;1;0;0;0;0;0;0;0;10;0;0;1;21;0;54;0;0;0;0;756,6666667
Málaga;2022;76;79;0;0;0;0;1;0;0;0;0;2880;0;1;0;0;0;0;0;0;0;38;0;5;0;0;1;0;2;0;1;0;0;0;0;10;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3095;0;0;0;941,5476575
Manchuela;2022;684;10;101;0;0;0;491;0;0;63;3;59;2;432;14;121;14;0;66;9;0;62;0;34;0;7;0;209;212;214;420;0;32;1885;445;1;0;0;296;18;1932;0;86;18;111;41;685;2309;907;5529;0;32;0;0;350
Manzanilla S.B.;2022;168;16;305;0;1;0;32;1;1;1;28;275;6;479;1;15;10;35;67;0;0;8;8;4;6;128;33;25;1914;9;34;0;40;45;0;554;25;0;11;0;10;0;299;47;104;11;1;0;0;0;4757;0;0;0;343,8999369
Méntrida;2022;0;0;4;0;0;0;0;0;0;0;0;0;0;5;0;3;0;0;0;0;0;0;0;2;0;0;90;24;80;18;14;0;27;19;0;0;11;0;0;24;71;0;0;1;4;0;0;68;8;321;0;0;0;0;622,3828715
Mondéjar;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Monterrei;2022;60;9;117;0;0;0;22;0;0;4;0;8;0;233;0;162;0;0;0;0;2;15;0;4;0;41;6;7;120;31;23;0;0;20;9;32;54;0;51;0;7;0;7;14;6;2;0;983;0;83;0;0;0;0;474
Montilla-Moriles;2022;191;28;35;4;0;0;307;0;0;1;6;100;0;1281;0;39;72;0;220;2;0;24;2;1433;0;90;9;43;206;5;147;0;7;267;0;339;3;0;985;25;243;0;55;8;109;5;0;3058;0;0;3233;0;0;0;556,7132411
Montsant;2022;1533;68;1528;4;0;3;229;0;5;14;67;291;5;320;10;39;2;46;25;25;9;124;0;75;0;1617;18;583;282;31;316;0;37;592;28;2551;28;0;68;113;222;0;243;223;69;5;3;764;638;9992;57;0;0;0;636,4202253
Navarra;2022;14880;176;1661;46;0;0;634;71;48;29;1733;2735;12;6301;4;1015;56;385;171;28;14;1010;16;545;494;647;2838;6843;8334;761;482;4;2011;4700;68;3987;1330;64;730;103;12916;0;918;1309;189;81;57;13708;10474;56221;33;0;0;0;326
Pago de Arínzano;2022;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;27;32;0;0;2;1;0;0;0;0;465;4;0;0;0;19;20;0;57;0;0;0;0;5;0;0;7;0;0;0;110;0;671;0;0;0;0;452,0153649
Pago de Otazu;2022;5;0;4;0;0;0;1;0;0;0;0;0;0;16;0;0;0;0;0;0;0;1;1;0;0;0;0;7;0;0;0;0;0;23;0;13;0;0;7;0;0;0;0;0;0;0;0;10;0;68;0;0;0;0;2533
Pago El Vicario;2022;5;0;56;0;0;0;53;0;0;0;0;0;0;52;0;0;0;17;0;0;0;0;0;0;3;0;0;6;0;0;0;0;0;0;6;162;0;0;0;16;298;0;28;0;0;0;0;209;112;381;0;0;0;0;511,6225071
Pago Florentino;2022;7;0;0;7;1;0;5;0;0;0;0;5;1;0;0;2;0;0;1;0;1;5;0;0;0;0;0;8;0;15;4;0;2;0;0;12;0;0;73;6;0;0;7;12;0;0;6;0;0;180;0;0;0;0;888,5555556
Pago La Jaraba;2022;68;0;7;0;0;0;2;0;0;0;0;7;0;15;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;129;0;0;384;0;0;0;114;0;0;0;0;8;0;722;0;0;0;0;225,5712329
Pago Los Cerrillos;2022;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;13;52;0;0;0;349;0;0;70;0;0;0;0;0;491;0;0;0;0;800
Pago Vallegarcía;2022;62;0;7;0;0;0;2;0;0;0;0;1;0;4;3;0;0;0;0;0;0;4;0;4;0;2;0;22;0;0;58;0;0;0;0;5;42;0;0;0;103;0;0;0;0;0;2;44;0;277;0;0;0;0;1312,58567
Penedés;2022;3211;69;1308;77;17;3;771;10;2;204;832;357;21;1556;15;282;75;211;190;49;6;340;18;128;19;5916;784;357;826;337;951;0;693;6798;366;3543;692;1;795;281;462;3;888;738;87;26;612;13093;3491;14589;0;3745;9;0;879,1549804
Pla de Bages;2022;45;0;7;0;0;0;26;0;0;9;1;0;0;23;0;0;0;0;0;34;0;8;0;5;0;3;7;12;6;230;10;0;24;3;22;12;13;5;7;7;35;0;3;4;0;0;0;143;44;374;0;0;0;0;685,1336898
Pla i Llevant;2022;516;0;3;0;0;0;32;0;0;0;0;22;0;3;0;0;0;0;0;9;0;0;0;3;0;42;1;175;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;249;127;450;0;0;0;0;902,5411622
Prado de Irache;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Priorat;2022;1576;117;761;3;7;0;433;3;1;25;69;409;8;515;3;117;55;68;27;50;5;137;8;17;3;790;269;2548;401;427;126;0;66;427;0;4120;226;0;192;124;456;0;213;381;57;7;18;552;38;14672;3;0;0;0;1255,649525
Rías Baixas;2022;2638;284;2598;43;8;21;990;14;0;97;543;593;24;2746;50;5610;204;59;70;52;21;662;55;11;50;2424;1497;1594;18995;1450;770;3;124;2723;717;27850;3900;106;8866;321;316;0;1158;877;910;63;20;92127;0;0;0;0;0;0;641,5934959
Ribeira Sacra;2022;71;6;56;0;6;0;214;0;0;0;1;38;0;32;0;54;4;0;19;0;0;18;6;1;4;136;224;85;200;56;31;0;5;146;7;1059;5;0;6;90;37;0;23;96;60;1;8;357;29;2419;0;0;0;0;1201,749733
Ribeiro;2022;2204;0;717;8;0;0;92;0;0;6;0;46;0;88;0;18;2;2;0;0;0;20;0;2;6;0;13;99;236;0;31;0;8;51;5;334;60;0;16;0;38;0;262;0;24;0;0;4080;0;308;0;0;0;0;707,3295351
Ribera del Duero;2022;11073;589;2646;36;47;17;7335;53;22;175;495;2181;47;5443;35;1900;191;260;99;279;61;1204;210;356;53;4904;1439;23546;6384;3097;1669;10;1138;5150;1555;17455;13484;101;9943;860;8441;32;831;1308;361;29;296;0;0;136840;0;0;0;0;1130,683119
Ribera del Guadiana;2022;695;0;92;0;0;0;17;0;0;2;0;0;0;298;0;24;0;446;1265;1;0;2;0;32;0;0;0;374;4;0;54;0;42;3;0;39;41;0;16;478;279;0;0;20;0;0;0;1095;0;3129;0;0;0;0;203,141572
Ribera del Júcar;2022;147;2;13;0;0;0;20;0;0;0;0;0;0;0;0;0;0;125;50;0;0;0;0;0;0;0;2;2;180;0;95;0;75;85;0;112;22;0;0;17;180;0;27;0;0;0;0;49;6;1099;0;0;0;0;400
Rioja;2022;137830;6148;29264;316;278;516;10751;556;201;1681;5099;16543;335;42729;124;40347;913;7516;2248;1399;231;12766;370;2488;175;29866;16558;49131;321820;27707;9433;15;3657;40541;4970;105993;25708;456;24339;5498;21057;1603;5615;10691;5317;1004;3071;92105;51373;891396;0;0;0;0;512,574984
Rueda;2022;19982;162;5526;28;33;3;839;39;2;127;286;1158;19;41118;44;1072;98;297;549;91;49;878;73;149;110;946;556;7154;5418;5633;1490;2;230;2270;277;2634;1415;38;3392;155;566;0;1078;949;190;12;136;105939;252;789;16;277;0;0;300
Sierra de Salamanca;2022;19;0;0;0;0;0;9;0;0;0;0;1;0;4;0;0;0;1;0;0;0;0;1;0;0;12;0;0;0;0;0;0;0;50;0;80;0;0;0;0;0;0;3;0;0;0;0;11;0;169;0;0;0;0;690
Sierras de Málaga;2022;31;4;13;0;0;0;25;0;0;7;15;0;0;16;0;2;2;0;0;10;0;7;0;1;3;15;3;30;2;32;0;0;0;3;0;78;0;0;0;16;0;5;2;0;0;0;0;107;52;70;93;0;0;0;1339
Somontano;2022;2884;110;6067;0;0;0;439;0;0;15;45;308;15;3705;12;62;0;8;146;25;12;226;0;3;3;57;27;1242;1048;1507;253;0;139;438;426;323;1183;276;404;433;294;33;551;251;28;5;1;10047;4354;8603;0;0;0;0;484,154321
Tacoronte-Acentejo;2022;4;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;4;0;0;0;0;1732
Tarragona;2022;678;1;132;0;0;0;30;0;0;28;5;25;0;305;147;0;5;1;10;5;0;74;0;4;2;0;66;3;92;0;0;0;18;19;2;49;4;0;52;135;50;0;51;37;0;0;144;529;66;1526;0;53;0;0;310,0777369
Terra Alta;2022;513;14;487;3;0;0;235;0;0;2;56;167;0;1728;0;62;25;2;7;0;0;72;0;6;0;190;59;141;1469;33;54;0;61;160;25;1282;2;0;29;28;58;0;355;55;45;0;0;2323;545;4555;2;0;0;0;382,7306397
Tierra del Vino de Zamora;2022;30;0;5;0;0;0;9;0;0;0;0;0;0;8;0;0;0;0;0;0;0;36;0;0;0;26;0;12;19;39;0;0;23;23;0;21;0;0;0;0;40;0;10;0;0;0;0;49;0;252;0;0;0;0;544,0631229
Toro;2022;5016;115;1425;33;6;4;521;0;3;70;198;1029;6;3611;22;656;69;40;120;50;12;363;22;116;2;416;24;2582;1815;2024;0;0;327;613;111;5388;2046;8;1750;144;1931;3;373;3601;40;0;0;0;0;36705;0;0;0;0;383,190301
Uclés;2022;98;36;495;0;0;2;877;0;0;0;0;4;0;241;0;44;0;0;134;0;0;590;0;47;6;0;0;90;1548;0;25;0;2;186;450;21;0;0;3;84;388;0;54;298;0;0;238;1357;550;4054;0;0;0;0;238,5916792
Urueña;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;888,8888889
Utiel-Requena;2022;9426;2209;1296;28;56;0;1007;12;126;639;780;1578;0;14330;82;5089;153;1078;462;2;9;5326;0;279;1;1498;3507;692;21464;4410;885;0;2450;5499;2359;5219;415;0;849;0;13862;0;3196;598;5254;40;1384;18444;13107;85998;0;0;0;0;309,0918681
Valdeorras;2022;126;3;92;4;4;0;84;0;0;5;5;16;14;363;0;76;3;0;3;3;5;5;15;11;0;337;63;88;959;11;25;3;0;116;0;970;29;0;182;0;31;0;286;64;53;20;0;3118;0;956;0;0;0;0;733,3330879
Valdepeñas;2022;17487;720;696;360;0;202;1061;1524;1;202;488;241;21;8547;0;160;439;1464;619;49;10;2775;0;5358;342;78;54;6056;6830;3657;1416;0;677;4673;0;1;157;27;1264;259;1463;545;11191;93;23;146;263;13462;4668;63509;0;0;0;0;194,6226681
Valencia;2022;24846;706;10637;38;9;119;12713;10;74;3422;5026;6072;170;9734;28;1225;526;7373;2541;27;66;8050;298;1207;753;5716;5700;2178;11350;36490;3467;0;2204;11514;1327;8091;3895;378;1282;1573;23132;227;7398;1664;706;341;1496;56325;18201;132910;13819;3553;740;251;186,5219509
Valle de Güímar;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;13;0;9;0;0;0;0;1005,818182
Valle de la Orotava;2022;42;5;11;0;0;0;28;0;0;0;5;23;0;10;0;5;4;0;0;0;0;9;15;0;0;34;8;24;56;0;0;0;0;29;0;224;0;0;16;0;54;0;9;12;8;0;0;202;50;379;0;0;0;0;1112,968304
Valles de Benavente;2022;190;0;20;0;0;0;0;0;0;0;0;58;0;33;5;0;0;0;0;0;0;1;0;0;0;0;0;5;8;0;0;0;0;0;0;64;0;0;0;0;299;0;0;0;0;0;0;27;254;402;0;0;0;0;325,0366032
Valtiendas;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vera de Estenas;2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;3;0;5;0;0;0;0;911,125
Vinos de Madrid;2022;324;317;712;0;0;0;114;0;0;3;32;11;0;40;0;31;38;0;0;0;0;1;199;1;0;95;29;1104;79;0;83;0;9;130;0;1579;14;5;3;5;123;0;29;32;26;8;0;424;190;4562;0;0;0;0;345,8415765
Ycoden-Daute-Isora;2022;17;5;5;0;1;0;7;0;0;0;1;17;4;8;0;2;6;10;0;2;0;3;4;0;0;22;23;13;31;0;0;0;2;58;0;111;0;0;5;0;0;0;11;0;22;0;25;172;0;242;0;0;0;1;893,6120482
Yecla;2022;6453;17;639;0;0;0;3639;0;0;37;330;652;9;2361;0;183;23;718;1896;20;8;427;12;83;0;486;202;1847;2723;44;92;0;0;2574;0;3710;53;283;149;590;3122;6;1662;1007;41;59;136;2417;1797;32061;18;0;0;0;273,823685
Abona;2021;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;5;0;2;0;0;0;0;1043,428571
Alella;2021;84;0;272;0;9;26;0;0;0;0;0;3;5;25;0;0;12;5;3;0;0;0;0;0;0;3;0;74;38;0;108;0;0;1;16;41;1;0;126;0;39;0;27;3;14;0;0;611;21;118;15;169;1;0;264,402139
