DOPs;Año;Alemania;Austria;Bélgica;Bulgaria;Chipre;Croacia;Dinamarca;Eslovaquia;Eslovenia;Estonia;Finlandia;Francia;Grecia;Holanda;Hungria;Irlanda;Italia;Letonia;Lituania;Luxemburgo;Malta;Polonia;Portugal;Repùblica Checa;Rumania;Suecia;Noruega;Suiza;Reino Unido;Rusia;Resto Europa no E.U.;Argentina;Brasil;Canadá;Colombia;EE.UU.;México;Venezuela;Resto América;Corea;China;India;Japón;Resto Asia;Australia;Resto Oceanía;Resto países;Blanco;Rosado;Tinto;De licor;Espumoso;Deaguja;Otros;€/hl
Chacolí de Álava;2023;5;0;2;0;0;0;1;0;0;0;1;18;0;2;0;1;0;0;0;0;0;0;0;0;0;6;0;0;10;0;0;0;0;5;0;410;0;1;0;0;0;0;6;0;4;0;0;472;0;0;0;0;0;0;769,4915254
Chacolí de Bizkaia;2023;7;0;14;0;0;0;14;0;0;0;4;11;0;44;0;1;1;1;0;0;0;4;5;1;0;28;86;8;20;26;0;0;0;22;0;249;0;0;3;0;0;0;50;4;17;0;0;548;1;43;4;1;0;23;1040
Chacolí de Getaria;2023;82;0;24;0;0;0;17;8;0;26;50;435;0;108;3;32;4;12;7;0;0;8;0;6;0;163;381;28;375;241;14;0;6;72;0;4013;38;0;50;14;2;0;274;21;38;0;1;4530;1924;36;0;63;0;0;900,3509843
Chozas Carrascal;2023;1;0;5;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;2;0;0;0;0;0;14;5;0;0;0;10;0;0;4;0;0;0;5;0;0;0;0;0;0;1;3;0;47;0;0;0;0;703
Cigales;2023;550;11;1430;6;0;0;185;12;0;49;19;5;8;220;0;59;0;26;23;170;2;43;0;6;0;30;202;949;52;43;100;0;12;24;0;968;571;0;107;17;113;0;3;63;0;0;0;74;1002;5002;0;0;0;0;1019,523857
Conca de Barberá;2023;55;21;105;0;0;0;61;8;0;3;3;38;7;75;0;6;1;18;0;2;0;40;1;5;4;19;19;23;50;8;34;0;34;95;6;267;93;0;59;1;8;0;31;47;0;0;74;408;28;884;1;0;0;0;1029,304315
Condado de Huelva;2023;1;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;308;0;34;0;0;0;0;0;0;163;0;0;0;0;0;0;147;0;0;0;0;73;42;4;568;0;0;0;257,5516739
Costers del Segre;2023;200;9;618;0;0;0;173;0;0;24;1238;84;0;976;2;25;38;0;2;2;2;32;0;27;0;73;5;354;456;251;46;0;18;84;0;1925;59;0;35;96;27;0;748;412;79;0;78;3517;257;4417;0;7;0;0;455,0404977
Dehesa del Carrizal;2023;19;3;31;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;2;0;0;0;0;0;0;1;0;4;5;72;0;0;0;0;0;0;5;0;25;11;5;0;17;2;5;0;0;10;0;206;0;0;0;0;1047,958333
Dehesa Peñalba;2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;5;11;0;0;0;3;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;26;0;0;0;0;1288,615385
Dominio de Valdepusa;2023;15;0;1;0;0;0;1;4;0;4;0;4;0;1;0;3;0;5;0;2;0;5;0;0;0;9;0;5;1;0;3;0;0;23;0;3;8;0;29;0;8;0;5;0;0;0;0;0;0;139;0;0;0;0;841,8848921
El Hierro;2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
El Terrerazo;2023;7;14;7;0;0;0;32;0;0;3;0;3;0;9;0;0;0;0;0;0;0;1;0;0;0;0;0;2;13;0;0;0;6;0;10;39;2;0;3;0;2;0;1;3;0;0;0;0;0;157;0;0;0;0;1075
Empordà;2023;464;12;172;1;0;0;52;2;0;2;62;95;0;175;1;7;9;0;8;5;0;29;0;6;0;39;76;386;65;38;82;0;25;315;0;248;82;0;13;72;99;0;8;107;0;3;0;479;130;2126;16;7;0;2;711,126087
Finca Élez;2023;63;0;0;0;0;0;11;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;8;0;0;0;0;99;0;11;0;0;0;0;316,3636364
Gran Canaria;2023;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;107;0;0;0;0;0;0;0;0;0;0;0;11;8;102;0;0;0;0;924,9173554
Granada;2023;26;2;0;0;0;0;311;0;0;0;0;0;0;6;0;0;0;0;0;13;0;0;0;1;0;2;4;0;0;0;1;0;19;0;0;0;0;0;0;0;5;0;0;0;0;0;0;27;0;356;0;7;0;0;895,6358974
Guijoso;2023;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;6;0;0;0;0;1812,5
Islas Canarias;2023;0;17;49;0;0;0;3;0;0;0;4;0;0;7;0;0;0;0;0;0;0;3;0;3;0;29;39;0;61;0;0;0;0;40;0;204;3;24;2;0;9;0;0;35;7;0;0;376;0;163;0;0;0;0;2430,612245
Jerez-Xérès-Sherry;2023;12947;480;8584;5;13;4;958;22;8;44;906;5699;155;26368;110;633;221;940;720;23;11;190;250;184;69;1207;278;597;72541;83;1003;20;138;1974;310;7774;334;21;997;154;178;0;916;578;1021;142;20;0;0;0;149830;0;0;0;361
Jumilla;2023;13645;217;2219;12;10;8;1612;22;1;556;133;836;5;1774;20;642;36;5317;1426;23;18;1571;756;806;104;3551;2244;2889;11294;9462;1317;0;1897;0;101;23370;607;450;1285;2290;4666;81;4148;14308;327;94;7861;5735;4756;113476;33;0;0;11;247,500004
La Gomera;2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
La Mancha;2023;45892;140;1523;36;58;161;890;763;0;106;2439;1845;30;11342;8;1644;1;3959;4394;14;173;8097;1851;689;115;832;156;5345;3450;14073;5944;0;1793;3727;42;3901;3523;2670;3127;787;15689;105;8621;2064;22;2323;0;48762;14000;101602;0;0;0;0;250
La Palma;2023;21;0;7;0;0;0;13;0;0;0;0;6;0;3;0;0;5;0;0;0;0;0;7;0;0;9;0;7;19;0;0;0;0;0;0;13;0;0;0;0;0;0;12;0;14;0;0;65;0;71;0;0;0;0;2197,485294
Lanzarote;2023;34;0;4;0;0;0;0;0;0;0;0;3;0;0;0;0;5;0;0;0;0;6;0;0;0;4;0;4;0;0;0;0;0;14;0;335;5;0;0;0;0;0;10;2;5;0;0;197;120;83;0;31;0;0;1500
Lebrija;2023;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;837,5
León;2023;0;0;24;7;51;5;7;44;0;0;0;0;7;9;22;0;0;0;28;13;0;0;1;10;0;7;14;30;20;5;0;0;0;16;7;99;10;0;0;0;10;0;37;5;0;0;0;236;148;104;0;0;0;0;500
Los Balagueses;2023;12;0;17;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;2;0;0;6;0;0;0;1;0;6;0;12;0;0;0;1;0;3;0;0;5;0;0;0;5;5;5;0;0;17;0;67;0;0;0;0;1723
Málaga;2023;242;134;0;0;0;0;0;0;0;0;0;3448;0;24;0;1;0;0;0;0;0;32;0;0;0;0;143;2;693;0;16;0;0;44;0;44;0;0;360;0;0;0;45;0;0;0;27;0;0;0;5255;0;0;0;1857,602284
